image_name,actual_class,best_reference,good_matches,inliers,detected
POSITIVE_IMAGE3.jpeg,positive,REFERENCE_IMAGE_FRONT.jpeg,482,406,True
POSITIVE_IMAGE_1.jpeg,positive,REFERENCE_IMAGE_ROTATED.jpeg,1083,650,True
POSITIVE_IMAGE_10.jpeg,positive,REFERENCE_IMAGE_FRONT.jpeg,702,629,True
POSITIVE_IMAGE_11.jpeg,positive,REFERENCE_IMAGE_FRONT.jpeg,667,566,True
POSITIVE_IMAGE_12.jpeg,positive,REFERENCE_IMAGE_FRONT.jpeg,359,314,True
POSITIVE_IMAGE_13.jpeg,positive,REFERENCE_IMAGE_FRONT.jpeg,1103,971,True
POSITIVE_IMAGE_14.jpeg,positive,REFERENCE_IMAGE_FRONT.jpeg,1709,1604,True
POSITIVE_IMAGE_15.jpeg,positive,REFERENCE_IMAGE_FRONT.jpeg,864,765,True
POSITIVE_IMAGE_16.jpeg,positive,REFERENCE_IMAGE_FRONT.jpeg,1359,1209,True
POSITIVE_IMAGE_17.jpeg,positive,REFERENCE_IMAGE_FRONT.jpeg,1692,1539,True
POSITIVE_IMAGE_18.jpeg,positive,REFERENCE_IMAGE_FRONT.jpeg,1114,982,True
POSITIVE_IMAGE_19.jpeg,positive,REFERENCE_IMAGE_FRONT.jpeg,733,616,True
POSITIVE_IMAGE_2.jpeg,positive,REFERENCE_IMAGE_FRONT.jpeg,712,604,True
POSITIVE_IMAGE_20.jpeg,positive,REFERENCE_IMAGE_4_SCALED.png,266,182,True
POSITIVE_IMAGE_4.jpeg,positive,REFERENCE_IMAGE_FRONT.jpeg,708,632,True
POSITIVE_IMAGE_5.jpeg,positive,REFERENCE_IMAGE_FRONT.jpeg,226,173,True
POSITIVE_IMAGE_6.jpeg,positive,REFERENCE_IMAGE_FRONT.jpeg,1375,1258,True
POSITIVE_IMAGE_7.jpeg,positive,REFERENCE_IMAGE_FRONT.jpeg,652,521,True
POSITIVE_IMAGE_8.jpeg,positive,REFERENCE_IMAGE_FRONT.jpeg,357,279,True
POSITIVE_IMAGE_9.jpeg,positive,REFERENCE_IMAGE_FRONT.jpeg,470,375,True
NEGATIVE_IMAGE_1.jpeg,negative,REFERENCE_IMAGE_ANGLE.jpeg,51,17,False
NEGATIVE_IMAGE_10.jpeg,negative,REFERENCE_IMAGE_ROTATED.jpeg,110,27,True
NEGATIVE_IMAGE_11.jpeg,negative,REFERENCE_IMAGE_PERSPECTIVE.jpeg,54,17,False
NEGATIVE_IMAGE_2.jpeg,negative,REFERENCE_IMAGE_ROTATED.jpeg,219,171,True
NEGATIVE_IMAGE_3.jpeg,negative,REFERENCE_IMAGE_ROTATED.jpeg,307,280,True
NEGATIVE_IMAGE_4.jpeg,negative,REFERENCE_IMAGE_ROTATED.jpeg,110,35,True
NEGATIVE_IMAGE_5.jpeg,negative,REFERENCE_IMAGE_ROTATED.jpeg,120,47,True
NEGATIVE_IMAGE_6.jpeg,negative,REFERENCE_IMAGE_ROTATED.jpeg,193,82,True
NEGATIVE_IMAGE_7.jpeg,negative,REFERENCE_IMAGE_FRONT.jpeg,106,29,True
NEGATIVE_IMAGE_8.jpeg,negative,REFERENCE_IMAGE_ROTATED.jpeg,249,219,True
NEGATIVE_IMAGE_9.jpeg,negative,REFERENCE_IMAGE_PERSPECTIVE.jpeg,81,13,False
